touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-0.208888916015625, 0.640179910044977, ACCEL, 75829.336505875, -0.0691070556640625, -0.677825927734375, -0.79681396484375
-0.208888916015625, 0.640179910044977, ACCEL, 75829.326495875, -0.03887939453125, -0.624359130859375, -0.737335205078125
-2.0, -2.0, ACCEL, 75829.316455875, -0.047119140625, -0.638504028320312, -0.75604248046875
-2.0, -2.0, ACCEL, 75829.306414875, -0.046844482421875, -0.64263916015625, -0.764450073242188
-2.0, -2.0, ACCEL, 75829.296374875, -0.0425872802734375, -0.642471313476562, -0.763717651367188
-2.0, -2.0, ACCEL, 75829.286364875, -0.0508880615234375, -0.63885498046875, -0.770187377929688
-2.0, -2.0, ACCEL, 75829.276324875, -0.0562286376953125, -0.639862060546875, -0.762680053710938
-2.0, -2.0, ACCEL, 75829.266284875, -0.058868408203125, -0.651016235351562, -0.758087158203125
-2.0, -2.0, ACCEL, 75829.256243875, -0.0544891357421875, -0.6575927734375, -0.754989624023438
-2.0, -2.0, ACCEL, 75829.246203875, -0.041351318359375, -0.659011840820312, -0.724777221679688
-2.0, -2.0, ACCEL, 75829.236193875, -0.03363037109375, -0.655670166015625, -0.709152221679688
-2.0, -2.0, ACCEL, 75829.226153875, -0.0417938232421875, -0.660858154296875, -0.707366943359375
-2.0, -2.0, ACCEL, 75829.216113875, -0.0431671142578125, -0.650177001953125, -0.701385498046875
-2.0, -2.0, ACCEL, 75829.206073875, -0.0473480224609375, -0.656768798828125, -0.708343505859375
-2.0, -2.0, ACCEL, 75829.196063875, -0.0482177734375, -0.648345947265625, -0.722503662109375
0.0684444173177083, 0.509245362060181, ACCEL, 75829.186023875, -0.0382843017578125, -0.6280517578125, -0.748214721679688
0.0684444173177083, 0.509245362060181, ACCEL, 75829.175982875, -0.0458984375, -0.631134033203125, -0.778701782226562
0.0684444173177083, 0.509245362060181, ACCEL, 75829.165942875, -0.05914306640625, -0.619171142578125, -0.79998779296875
0.0684444173177083, 0.509245362060181, ACCEL, 75829.155932875, -0.074493408203125, -0.6297607421875, -0.825820922851562
0.0684444173177083, 0.509245362060181, ACCEL, 75829.145892875, -0.07470703125, -0.627166748046875, -0.836090087890625
0.0684444173177083, 0.509245362060181, ACCEL, 75829.135852875, -0.0621185302734375, -0.618362426757812, -0.787979125976562
0.0684444173177083, 0.509245362060181, ACCEL, 75829.125811875, -0.0569610595703125, -0.635025024414062, -0.810440063476562
0.0684444173177083, 0.509245362060181, ACCEL, 75829.115771875, -0.062042236328125, -0.66937255859375, -0.876266479492188
-2.0, -2.0, ACCEL, 75829.105761875, -0.0718231201171875, -0.63134765625, -0.792526245117188
-2.0, -2.0, ACCEL, 75829.095721875, -0.0808868408203125, -0.60186767578125, -0.793991088867188
-2.0, -2.0, ACCEL, 75829.085681875, -0.0598602294921875, -0.597503662109375, -0.764205932617188
-2.0, -2.0, ACCEL, 75829.075640875, -0.0460052490234375, -0.626388549804688, -0.79766845703125
-2.0, -2.0, ACCEL, 75829.065631875, -0.0385589599609375, -0.637374877929688, -0.809585571289062
-2.0, -2.0, ACCEL, 75829.055590875, -0.037261962890625, -0.647811889648438, -0.780319213867188
-2.0, -2.0, ACCEL, 75829.045550875, -0.0394134521484375, -0.658126831054688, -0.752334594726562
-2.0, -2.0, ACCEL, 75829.035510875, -0.045074462890625, -0.659271240234375, -0.718551635742188
-2.0, -2.0, ACCEL, 75829.025500875, -0.0540771484375, -0.6527099609375, -0.684280395507812
-2.0, -2.0, ACCEL, 75829.015460875, -0.0652313232421875, -0.6483154296875, -0.663162231445312
-2.0, -2.0, ACCEL, 75829.005420875, -0.0695037841796875, -0.638656616210938, -0.664230346679688
-2.0, -2.0, ACCEL, 75828.995379875, -0.062347412109375, -0.641998291015625, -0.676986694335938
-2.0, -2.0, ACCEL, 75828.985339875, -0.04400634765625, -0.6558837890625, -0.705352783203125
-2.0, -2.0, ACCEL, 75828.975329875, -0.0211334228515625, -0.664260864257812, -0.749649047851562
-2.0, -2.0, ACCEL, 75828.965289875, 0.0019683837890625, -0.669387817382812, -0.773666381835938
-0.562666666666667, 0.685157421289355, ACCEL, 75828.955249875, -0.0040130615234375, -0.67535400390625, -0.801483154296875
-0.562666666666667, 0.685157421289355, ACCEL, 75828.945208875, -0.012451171875, -0.665573120117188, -0.822799682617188
-0.562666666666667, 0.685157421289355, ACCEL, 75828.935199875, -0.0248260498046875, -0.66534423828125, -0.823471069335938
-0.562666666666667, 0.685157421289355, ACCEL, 75828.925158875, -0.0362396240234375, -0.688735961914062, -0.820343017578125
-0.562666666666667, 0.685157421289355, ACCEL, 75828.915118875, -0.049652099609375, -0.674514770507812, -0.788314819335938
-0.562666666666667, 0.685157421289355, ACCEL, 75828.905078875, -0.05853271484375, -0.680374145507812, -0.774017333984375
-0.562666666666667, 0.685157421289355, ACCEL, 75828.895068875, -0.0385284423828125, -0.717117309570312, -0.756790161132812
-0.562666666666667, 0.685157421289355, ACCEL, 75828.885028875, -0.0345001220703125, -0.65118408203125, -0.715072631835938
-0.562666666666667, 0.685157421289355, ACCEL, 75828.874987875, -0.0301971435546875, -0.676223754882812, -0.710983276367188
-2.0, -2.0, ACCEL, 75828.864947875, -0.0169525146484375, -0.686050415039062, -0.718582153320312
-2.0, -2.0, ACCEL, 75828.854907875, -0.0043487548828125, -0.687591552734375, -0.715545654296875
-2.0, -2.0, ACCEL, 75828.844897875, 0.02154541015625, -0.693313598632812, -0.701339721679688
-2.0, -2.0, ACCEL, 75828.834857875, 0.03155517578125, -0.698043823242188, -0.699813842773438
-2.0, -2.0, ACCEL, 75828.824816875, 0.018341064453125, -0.70489501953125, -0.705841064453125
-2.0, -2.0, ACCEL, 75828.814776875, -0.01617431640625, -0.687271118164062, -0.706100463867188
-2.0, -2.0, ACCEL, 75828.804766875, -0.06585693359375, -0.632583618164062, -0.689865112304688
-2.0, -2.0, ACCEL, 75828.794726875, -0.110885620117188, -0.606094360351562, -0.65240478515625
-2.0, -2.0, ACCEL, 75828.784686875, -0.130691528320312, -0.6602783203125, -0.66326904296875
-2.0, -2.0, ACCEL, 75828.774646875, -0.10797119140625, -0.677413940429688, -0.668670654296875
-2.0, -2.0, ACCEL, 75828.764636875, -0.071502685546875, -0.642959594726562, -0.639678955078125
-2.0, -2.0, ACCEL, 75828.754596875, -0.0214691162109375, -0.680557250976562, -0.622879028320312
-2.0, -2.0, ACCEL, 75828.744555875, 0.00689697265625, -0.70928955078125, -0.661300659179688
-2.0, -2.0, ACCEL, 75828.734515875, 0.0264129638671875, -0.6822509765625, -0.680557250976562
-2.0, -2.0, ACCEL, 75828.724475875, 0.02117919921875, -0.691604614257812, -0.72821044921875
-0.720888916015625, 0.521239365058682, ACCEL, 75828.714465875, 0.020172119140625, -0.740509033203125, -0.849365234375
-0.720888916015625, 0.521239365058682, ACCEL, 75828.704425875, 0.038787841796875, -0.737533569335938, -0.880050659179688
